epsilon_type,epsilon,aggregation,dataset,k_star
relative,0.10000000000000001,var,Uniform,1
relative,0.20000000000000001,var,Uniform,1
relative,0,var,Heavy-tailed,7
relative,9.9999999999999998e-13,var,Heavy-tailed,6
relative,1.0000000000000001e-09,var,Heavy-tailed,4
relative,9.9999999999999995e-07,var,Heavy-tailed,3
relative,0.0001,var,Heavy-tailed,2
relative,0.001,var,Heavy-tailed,2
relative,0.01,var,Heavy-tailed,1
relative,0.050000000000000003,var,Heavy-tailed,1
relative,0.10000000000000001,var,Heavy-tailed,1
relative,0.20000000000000001,var,Heavy-tailed,1
relative,0,var,Zipfian,7
relative,9.9999999999999998e-13,var,Zipfian,6
relative,1.0000000000000001e-09,var,Zipfian,4
relative,9.9999999999999995e-07,var,Zipfian,3
relative,0.0001,var,Zipfian,2
relative,0.001,var,Zipfian,2
relative,0.01,var,Zipfian,1
relative,0.050000000000000003,var,Zipfian,1
relative,0.10000000000000001,var,Zipfian,1
relative,0.20000000000000001,var,Zipfian,1
