epsilon_type,epsilon,aggregation,dataset,k_star
absolute,10,max,Zipfian,4
absolute,100,max,Zipfian,4
absolute,1000,max,Zipfian,3
absolute,10000,max,Zipfian,3
absolute,100000,max,Zipfian,2
absolute,1000000,max,Zipfian,2
absolute,100000000,max,Zipfian,1
absolute,10000000000,max,Zipfian,1
absolute,1000000000000,max,Zipfian,1
absolute,0,var,Sensor,7
absolute,9.9999999999999998e-13,var,Sensor,5
absolute,1.0000000000000001e-09,var,Sensor,4
absolute,9.9999999999999995e-07,var,Sensor,3
absolute,0.001,var,Sensor,1
absolute,0.01,var,Sensor,1
absolute,0.10000000000000001,var,Sensor,1
absolute,1,var,Sensor,1
absolute,10,var,Sensor,1
absolute,100,var,Sensor,1
absolute,1000,var,Sensor,1
absolute,10000,var,Sensor,1
absolute,100000,var,Sensor,1
absolute,1000000,var,Sensor,1
absolute,100000000,var,Sensor,1
absolute,10000000000,var,Sensor,1
absolute,1000000000000,var,Sensor,1
absolute,0,var,Uniform,7
absolute,9.9999999999999998e-13,var,Uniform,7
absolute,1.0000000000000001e-09,var,Uniform,6
absolute,9.9999999999999995e-07,var,Uniform,3
absolute,0.001,var,Uniform,2
absolute,0.01,var,Uniform,2
absolute,0.10000000000000001,var,Uniform,2
absolute,1,var,Uniform,2
absolute,10,var,Uniform,1
absolute,100,var,Uniform,1
absolute,1000,var,Uniform,1
absolute,10000,var,Uniform,1
absolute,100000,var,Uniform,1
absolute,1000000,var,Uniform,1
absolute,100000000,var,Uniform,1
absolute,10000000000,var,Uniform,1
absolute,1000000000000,var,Uniform,1
absolute,0,var,Heavy-tailed,7
absolute,9.9999999999999998e-13,var,Heavy-tailed,7
absolute,1.0000000000000001e-09,var,Heavy-tailed,7
absolute,9.9999999999999995e-07,var,Heavy-tailed,7
absolute,0.001,var,Heavy-tailed,7
absolute,0.01,var,Heavy-tailed,7
absolute,0.10000000000000001,var,Heavy-tailed,7
absolute,1,var,Heavy-tailed,7
absolute,10,var,Heavy-tailed,7
absolute,100,var,Heavy-tailed,7
absolute,1000,var,Heavy-tailed,6
absolute,10000,var,Heavy-tailed,6
absolute,100000,var,Heavy-tailed,5
absolute,1000000,var,Heavy-tailed,5
absolute,100000000,var,Heavy-tailed,4
absolute,10000000000,var,Heavy-tailed,3
absolute,1000000000000,var,Heavy-tailed,2
absolute,0,var,Zipfian,7
absolute,9.9999999999999998e-13,var,Zipfian,7
absolute,1.0000000000000001e-09,var,Zipfian,7
absolute,9.9999999999999995e-07,var,Zipfian,7
absolute,0.001,var,Zipfian,7
absolute,0.01,var,Zipfian,6
absolute,0.10000000000000001,var,Zipfian,6
absolute,1,var,Zipfian,6
absolute,10,var,Zipfian,5
absolute,100,var,Zipfian,5
absolute,1000,var,Zipfian,4
absolute,10000,var,Zipfian,4
absolute,100000,var,Zipfian,4
absolute,1000000,var,Zipfian,3
absolute,100000000,var,Zipfian,2
absolute,10000000000,var,Zipfian,2
absolute,1000000000000,var,Zipfian,1
