dataset,aggregation,k,threshold,exact,approx,abs_error,rel_error,analytic_bound,bound_gap
Uniform,avg,3,500,500.04564432701983,500.04561381009461,3.0516925221490965e-05,6.1028279253510518e-08,6.1035156249978099e-05,2.0000427895991058
Uniform,count_gt,3,500,50002727,50002722,5,9.9994546297444934e-08,5,1
Uniform,min,3,500,5.4511041569504926e-05,0,5.4511041569504926e-05,1,6.1035156249999993e-05,1.1196842784993646
Uniform,max,3,500,999.99999606894755,999.99993896484375,5.710410380288522e-05,5.7104104027364445e-08,6.1035156249999993e-05,1.0688401040437334
Uniform,var,3,500,83336.800489339599,83336.800488814231,5.2536779548972845e-07,6.3041512561660344e-12,0.18308147011122083,348482.47586352157
Uniform,sum,4,500,50004564432.701981,50004564420.781151,11.920829772949219,2.3839483271557579e-10,23.841857906224647,2.0000166398086363
Uniform,avg,4,500,500.04564432701983,500.04564420781151,1.1920832321266062e-07,2.3839488367726038e-10,2.3841857906224646e-07,2.0000162122649923
Uniform,count_gt,4,500,50002727,50002727,0,0,0,1
Uniform,min,4,500,5.4511041569504926e-05,5.435943603515625e-05,1.5160553434867552e-07,0.002781189461503302,2.3841857910155572e-07,1.5726245095592621
Uniform,max,4,500,999.99999606894755,999.99999594688416,1.2206339761178242e-07,1.2206339809162005e-10,2.3841857910155572e-07,1.9532356444790775
Uniform,var,4,500,83336.800489339599,83336.800489329471,1.0128132998943329e-08,1.215325395200277e-13,0.00071516197800934275,70611.432342363172
Uniform,sum,5,500,50004564432.701981,50004564432.655418,0.04656219482421875,9.3115889224240518e-13,0.093132253529865899,2.0001688898355865
Uniform,avg,5,500,500.04564432701983,500.04564432655417,4.6566128730773926e-10,9.312375631917435e-13,9.3132253529865901e-10,1.999999915567773
Uniform,count_gt,5,500,50002727,50002727,0,0,0,1
Uniform,min,5,500,5.4511041569504926e-05,5.4510310292243958e-05,7.3127726096799961e-10,1.341521350377384e-05,9.3132257460870225e-10,1.2735560427188732
Uniform,max,5,500,999.99999606894755,999.99999606888741,6.014033715473488e-11,6.0140337391149705e-14,9.3132257460870225e-10,15.485822306125511
Uniform,var,5,500,83336.800489339599,83336.800489337664,1.9354047253727913e-09,2.3223890454258167e-14,2.793601358903366e-06,1443.4197262617884
Uniform,sum,6,500,50004564432.701981,50004564432.701797,0.00018310546875,3.6617750964800468e-15,0.00036379394902721907,1.9868000202873191
Uniform,avg,6,500,500.04564432701983,500.04564432701795,1.8758328224066645e-12,3.7513231915683026e-15,3.6379394902721907e-12,1.9393729797332209
Uniform,count_gt,6,500,50002727,50002727,0,0,0,1
Uniform,min,6,500,5.4511041569504926e-05,5.4511041525984183e-05,4.3520742565306136e-14,7.9838398445963502e-10,3.6379788003154494e-12,83.591836578991945
Uniform,max,6,500,999.99999606894755,999.99999606894562,1.9326762412674725e-12,1.9326762488649242e-15,3.6379788003154494e-12,1.882352937670315
Uniform,var,6,500,83336.800489339599,83336.800489339628,2.9103830456733704e-11,3.4923143540237847e-16,1.0912387833754905e-08,374.94679093796481
Uniform,sum,7,500,50004564432.701981,50004564432.701981,0,0,1.4171537895679709e-06,inf
Uniform,avg,7,500,500.04564432701983,500.04564432701983,0,0,1.4171537895679709e-14,inf
Uniform,count_gt,7,500,50002727,50002727,0,0,0,1
Uniform,min,7,500,5.4511041569504926e-05,5.4511041568616747e-05,8.8817841970012523e-16,1.6293550703257858e-11,1.4210847938938426e-14,15.999992370605469
Uniform,max,7,500,999.99999606894755,999.99999606894755,0,0,1.4210847938938426e-14,inf
Uniform,var,7,500,83336.800489339599,83336.800489339599,0,0,4.2509040517592628e-11,inf
Uniform,sum,8,500,50004564432.701981,50004564432.701981,0,0,2.5427834560165508e-09,inf
Uniform,avg,8,500,500.04564432701983,500.04564432701983,0,0,2.5427834560165508e-17,inf
Uniform,count_gt,8,500,50002727,50002727,0,0,0,1
Uniform,min,8,500,5.4511041569504926e-05,5.4511041569504926e-05,0,0,5.5504374967679793e-17,inf
Uniform,max,8,500,999.99999606894755,999.99999606894755,0,0,5.5504374967679793e-17,inf
Uniform,var,8,500,83336.800489339599,83336.800489339599,0,0,7.6273409358053247e-14,inf
